keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Aussaat',0.13551117347633587,0.9238369032435572,-0.0003391930684368506,0.9895946020863939,91.0
'Bl체te',0.19611386444133982,1.0237398434169562,-0.09615644488869413,0.8409320096210761,352.0
'D체rre',-0.1581156783647053,0.9748600275926171,0.27552007226252523,1.205082674371028,870.0
'Ernte',0.08606972427271413,1.1479603792245112,0.0820778997910744,1.079630672507198,1180.0
'Fr체hling',0.1860017620856956,0.941497979948037,0.044911227459708304,0.9830439451360805,769.0
'Gewitter',-0.07622960054871886,0.9420714346046896,-0.16374211930116256,0.8202037547184624,1876.0
'Glatteis',-0.26469167351120565,0.9932583227744772,-0.09086480047748907,0.8587696111767368,375.0
'Herbst',0.10566686398683775,1.0065085149135262,-0.039003590012181545,0.9639827423673742,990.0
'Hochwasser',-0.18221824095437683,0.9721890667461669,-0.013537733085391362,0.9981125390721025,1980.0
'Laub',0.13492127612568147,0.9776663957988756,-0.05117558767380866,0.834340509428179,399.0
'Laubfall',-0.7713227999126109,0.5719294712670737,-0.523582121705814,0.006886135376296941,3.0
'Niedrigwasser',-0.13942584345027714,0.948838171188064,0.017083684681086512,1.0495290771825816,185.0
'Schnee',-0.05354310513359564,0.9391632264140815,0.05369153694856336,1.0598945089570275,1888.0
'Sommer',0.05341945420591573,0.9592662840182568,-0.009147772533899659,1.003854720851123,1918.0
'Sp채tfrost',-0.00023891962671050384,0.9333955988959307,0.13272641564948004,1.1709715119574033,26.0
'Weinlese',0.42798590191714225,0.9298046100475827,-0.0834993955915176,0.8021525489107046,184.0
'Winter',0.0935626278083377,1.0200010806298694,0.007219525092613983,0.9898038839250983,2271.0
